tracking_id	shCtrl-1_0	shCtrl-2_0	shU-1_0	shU-2_0
ENSMUSG00000002233.6	78.0926	83.0584	100.606	87.9611
ENSMUSG00000002240.6	0	0	0	0
ENSMUSG00000002249.10	3.20573	3.40569	3.2612	3.79312
ENSMUSG00000002250.9	1.02186	1.18632	2.45134	3.0153
ENSMUSG00000002257.6	0.0720997	0.106885	0.490876	0.113203
ENSMUSG00000002265.8	587.903	606.309	425.241	471.789
ENSMUSG00000002266.9	0.29931	0.401173	0.138443	0.17641
ENSMUSG00000002274.6	2.57198	2.30335	2.65645	2.53833
ENSMUSG00000002279.11	11.2477	11.9553	13.2028	12.9198
ENSMUSG00000002280.4	18.863	26.3251	22.047	23.0144
ENSMUSG00000002289.9	36.6505	36.0441	14.6859	13.5276
ENSMUSG00000002290.7	2.32603	1.95873	1.67709	2.36099
ENSMUSG00000002297.9	8.88336	9.67633	12.3401	12.5042
ENSMUSG00000002307.9	10.0942	8.78797	10.7285	9.82809
ENSMUSG00000002308.9	23.1221	20.1218	26.9849	27.8813
ENSMUSG00000002319.9	18.0489	24.0289	22.2252	26.8948
ENSMUSG00000002320.9	46.4108	47.0432	49.7279	45.5097
ENSMUSG00000002324.7	0.0962369	0.0547316	0.0579264	0
ENSMUSG00000002325.8	14.1044	15.635	7.98085	7.90357
ENSMUSG00000002326.5	20.6231	22.0484	13.4208	11.5396
ENSMUSG00000002329.6	30.8152	31.0344	18.2466	17.2681
ENSMUSG00000002332.9	51.0454	49.6537	33.221	31.0197
ENSMUSG00000002341.8	0.00425349	0	0	0
ENSMUSG00000002342.9	27.5033	26.5386	13.3596	13.3261
ENSMUSG00000002343.5	7.75904	6.82314	6.51723	4.38619
ENSMUSG00000002345.10	43.8471	44.6589	39.0762	41.5157
ENSMUSG00000002346.9	3.21621	3.72733	1.86582	2.11587
ENSMUSG00000002365.8	17.4182	17.406	19.5471	19.9619
ENSMUSG00000002372.7	21.4821	22.1598	33.5289	33.8006
ENSMUSG00000002379.6	9.9404	9.67886	12.2107	11.9863
ENSMUSG00000002384.2	0.124966	0.097402	0.0904106	0.128419
ENSMUSG00000002393.8	39.1757	40.5729	44.0463	47.9182
ENSMUSG00000002395.8	96.7954	91.7111	101.298	97.8768
